,FName,NIteraciones,NParticulas,ValorMin,ValorMed,TiempoMed
0,A-n32-k5.vrp,30.0,10.0,1570.176099022651,1730.66594835336,0.09478077093760172
1,A-n32-k5.vrp,30.0,100.0,1130.529257159613,1377.6500085965577,0.23114365736643475
2,A-n32-k5.vrp,30.0,1000.0,1076.9583239824951,1200.1452545092677,1.832391095161438
3,A-n32-k5.vrp,30.0,100000.0,848.781087320092,959.2507596784282,280.31435139973956
4,A-n32-k5.vrp,100.0,10.0,1508.5280608927844,1701.400555461018,0.21571270624796549
5,A-n32-k5.vrp,100.0,100.0,1191.501706230769,1386.976957494495,0.7544404904047648
6,A-n32-k5.vrp,100.0,1000.0,1005.2148701941061,1172.9776819352714,5.929206442832947
7,A-n32-k5.vrp,1000.0,10.0,1455.5459664234108,1668.1314535348613,3.0094797372817994
8,A-n32-k5.vrp,1000.0,100.0,1250.9992515693214,1394.8025973396304,11.040205669403075
9,A-n32-k5.vrp,1000.0,1000.0,1075.2872076190092,1209.3697190506905,191.45463140010833
10,A-n33-k6.vrp,30.0,10.0,1283.2717013752756,1447.4127557490144,0.10011458396911621
11,A-n33-k6.vrp,30.0,100.0,1027.5793704022576,1178.3210706750394,0.22315262158711752
12,A-n33-k6.vrp,30.0,1000.0,889.3398823891904,1013.4722846563903,1.851798915863037
13,A-n33-k6.vrp,30.0,100000.0,777.9398468908821,863.3571718721922,238.01955710252125
14,A-n33-k6.vrp,100.0,10.0,1153.6086941337778,1389.035878705197,0.32451963424682617
15,A-n33-k6.vrp,100.0,100.0,1109.4127821404782,1198.4740615127528,0.802506152788798
16,A-n33-k6.vrp,100.0,1000.0,960.5857221725349,1044.764033585097,6.165343006451924
17,A-n33-k6.vrp,1000.0,10.0,1308.6307652311818,1406.9345875222293,3.2144308646519977
18,A-n33-k6.vrp,1000.0,100.0,961.140934412587,1183.8293544466223,10.035181903839112
19,A-n33-k6.vrp,1000.0,1000.0,948.1119231308758,1036.9997385700085,88.10131498972575
20,A-n44-k6.vrp,30.0,10.0,1986.1994749589394,2085.5655007367673,0.11040054162343343
21,A-n44-k6.vrp,30.0,100.0,1597.136021363744,1708.3956241574795,0.2872612953186035
22,A-n44-k6.vrp,30.0,1000.0,1399.1070816764707,1485.4671136806055,2.3725691477457684
23,A-n44-k6.vrp,30.0,100000.0,1139.440822849792,1230.4060646837943,267.35260361830393
24,A-n44-k6.vrp,100.0,10.0,1815.3081248167246,2043.7461890136315,0.33248626391092934
25,A-n44-k6.vrp,100.0,100.0,1507.4062539020733,1693.1205964702167,1.0858046372731527
26,A-n44-k6.vrp,100.0,1000.0,1307.1458694827575,1491.5880961273288,7.94172834555308
27,A-n44-k6.vrp,1000.0,10.0,1721.3269702347259,2028.5534464625428,3.9312248627344766
28,A-n44-k6.vrp,1000.0,100.0,1558.1938525714925,1712.5181030325246,10.995006203651428
29,A-n44-k6.vrp,1000.0,1000.0,1304.3448797691306,1486.816885311249,150.774223057429
30,A-n65-k9.vrp,30.0,10.0,3117.157291391409,3367.2582042393155,0.14817845026652018
31,A-n65-k9.vrp,30.0,100.0,2510.529405351187,2752.4266860789535,0.40508654912312825
32,A-n65-k9.vrp,30.0,1000.0,2222.651910574624,2425.0973912491113,3.6962711811065674
33,A-n65-k9.vrp,30.0,100000.0,1852.0366784478858,1958.6541360146205,279.4185836394628
34,A-n65-k9.vrp,100.0,10.0,3031.488147947338,3249.410242593848,0.577549942334493
35,A-n65-k9.vrp,100.0,100.0,2545.8937056068266,2804.643348533339,1.5746736923853557
36,A-n65-k9.vrp,100.0,1000.0,2283.127659719386,2420.224638897855,11.530384357770284
37,A-n65-k9.vrp,1000.0,10.0,2990.3076942498305,3259.0742180163334,5.561003788312276
38,A-n65-k9.vrp,1000.0,100.0,2530.253745755208,2766.8476352438493,15.865739790598552
39,A-n65-k9.vrp,1000.0,1000.0,2332.7445648807393,2453.6754165954103,109.74455822308859
40,A-n80-k10.vrp,30.0,10.0,4245.115988571063,4440.6463912919035,0.17188444932301838
41,A-n80-k10.vrp,30.0,100.0,3410.4019464926896,3795.0849855027964,0.4827925602595011
42,A-n80-k10.vrp,30.0,1000.0,3156.227254747225,3376.291139293583,4.2214226881663
43,A-n80-k10.vrp,30.0,100000.0,2665.945373048856,2839.6157499043993,344.3309861183167
44,A-n80-k10.vrp,100.0,10.0,4031.81677453409,4302.117199308059,0.7784343719482422
45,A-n80-k10.vrp,100.0,100.0,3522.739795834397,3790.967789217573,1.8871869325637818
46,A-n80-k10.vrp,100.0,1000.0,3100.5013379838,3387.0681334661213,13.756436292330424
47,A-n80-k10.vrp,1000.0,10.0,4004.5000458247564,4271.345028931778,6.537711222966512
48,A-n80-k10.vrp,1000.0,100.0,3508.4505632728014,3821.6546307600393,19.124683944384255
49,A-n80-k10.vrp,1000.0,1000.0,3138.5804497477247,3362.4610053888996,166.20571676095327
